price,flat_type,flat_floor,builing_floor,street,number_of_building,building_area,flat_size,room,Rent_price,ROI,Price/m²
3800000,Студия, 10,25 ,ул.Эйнштейна,стр.3,Новоивановское,22.3,0,30000,0.0868421052631579,170403.5874439462
3200000,Студия, 13,22 ,ул.Эйнштейна,стр.1,Новоивановское,20.0,0,30000,0.103125,160000.0
3850000,Студия, 13,22 ,ул.Эйнштейна,стр.2,Новоивановское,24.1,0,30000,0.08571428571428572,159751.03734439833
4350000,Студия, 13,14 ,ул.Эйнштейна,стр.2,Новоивановское,27.2,0,30000,0.07586206896551724,159926.4705882353
4700000,1-к квартира, 14,24 ,ул.Эйнштейна,стр.2,Новоивановское,38.0,1,35000,0.08191489361702127,123684.21052631579
4600000,1-к квартира, 16,22 ,ул.Эйнштейна,стр.1,Новоивановское,31.8,1,35000,0.08369565217391305,144654.08805031446
6399000,2-к квартира, 3,22 ,ул.Эйнштейна,стр.1,Новоивановское,54.0,2,40000,0.0687607438662291,118500.0
3200000,Студия, 14,24 ,ул.Эйнштейна,стр.1,Новоивановское,19.2,0,30000,0.103125,166666.6666666667
2500000,Студия, 3,3 ,ул.Эйнштейна,стр.1,Новоивановское,30.0,0,30000,0.132,83333.33333333333
4600000,1-к квартира, 12,22 ,ул.Эйнштейна,стр.1,Новоивановское,32.0,1,35000,0.08369565217391305,143750.0
4800000,1-к квартира, 22,22 ,ул.Эйнштейна,стр.1,Новоивановское,34.2,1,35000,0.08020833333333334,140350.87719298244
6900000,2-к квартира, 12,15 ,ул.Эйнштейна,стр.1,Новоивановское,57.1,2,40000,0.06376811594202898,120840.63047285464
5300000,1-к квартира, 6,22 ,ул.Эйнштейна,стр.2,Москва,40.0,0,30000,0.062264150943396226,132500.0
3800000,Студия, 15,24 ,ул.Эйнштейна,стр.2,Москва,25.0,0,30000,0.0868421052631579,152000.0
3750000,Студия, 15,16 ,ул.Эйнштейна,стр.3,Москва,23.0,0,30000,0.088,163043.47826086957
4100000,Студия, 9,24 ,ул.Эйнштейна,стр.3,Москва,22.3,0,30000,0.08048780487804878,183856.50224215246
3950000,Студия, 15,22 ,ул.Эйнштейна,стр.2,Новоивановское,22.0,0,30000,0.08354430379746836,179545.45454545456
3700000,Студия, 5,14 ,ул.Эйнштейна,стр.1,Новоивановское,19.5,0,30000,0.0891891891891892,189743.58974358975
4250000,Студия, 3,25 ,ул.Эйнштейна,стр.3,Москва,24.0,0,30000,0.07764705882352942,177083.33333333334
3680000,Студия, 7,24 ,ул.Эйнштейна,стр.1,Новоивановское,22.8,0,30000,0.08967391304347826,161403.50877192983
4080000,Студия, 2,14 ,ул.Эйнштейна,стр.2,Москва,25.5,0,30000,0.08088235294117647,160000.0
4000000,Студия, 7,22 ,ул.Эйнштейна,стр.2,Москва,23.1,1,35000,0.09625,173160.17316017314
4850000,1-к квартира, 3,22 ,ул.Эйнштейна,стр.1,Новоивановское,35.0,1,35000,0.07938144329896907,138571.42857142858
4820000,1-к квартира, 3,25 ,ул.Эйнштейна,стр.3,Москва,31.5,1,35000,0.07987551867219916,153015.87301587302
4850000,1-к квартира, 11,15 ,ул.Эйнштейна,стр.1,Новоивановское,34.6,1,35000,0.07938144329896907,140173.41040462427
6000000,1-к квартира, 14,22 ,ул.Эйнштейна,стр.2,Новоивановское,42.0,2,40000,0.07333333333333333,142857.14285714287
6700000,2-к квартира, 11,15 ,ул.Эйнштейна,стр.1,Новоивановское,57.0,2,40000,0.06567164179104477,117543.85964912281
7350000,2-к квартира, 8,15 ,ул.Эйнштейна,стр.2,Москва,55.0,2,40000,0.05986394557823129,133636.36363636365
7350000,2-к квартира, 21,22 ,ул.Эйнштейна,стр.1,Новоивановское,54.7,0,30000,0.044897959183673466,134369.28702010968
3750000,Студия, 6,22 ,ул.Эйнштейна,стр.2,Москва,24.1,2,40000,0.11733333333333333,155601.65975103734
7400000,2-к квартира, 4,8 ,я»п.Сосенское,пос.Коммунарка,"стр.4.2,Москва",54.1,2,40000,0.05945945945945946,136783.73382624768
7270000,2-к квартира, 15,15 ,ул.Эйнштейна,стр.3,Москва,53.1,1,35000,0.05295735900962861,136911.48775894538
5400000,1-к квартира, 13,24 ,ул.Эйнштейна,стр.1,Новоивановское,40.4,0,30000,0.06111111111111111,133663.36633663366
